,time,flux
13792,1731.887212270362,484.51022
13793,1731.888601161766,473.3612
13794,1731.8899900531696,479.4239
13795,1731.8913789445749,483.78836
13796,1731.8927678359807,492.02823
13797,1731.8941567273869,487.45187
13798,1731.8955456187944,498.53278
13799,1731.8969345102028,510.45624
13800,1731.8983234016107,512.65076
13801,1731.8997122930177,506.3867
13802,1731.9011011844275,507.7615
13803,1731.902490075838,519.8649
13804,1731.9038789672484,514.32623
13805,1731.9052678586588,523.13104
13806,1731.9066567500713,534.20966
13807,1731.9080456414827,527.0955
13808,1731.9094345328958,537.17804
13809,1731.910823424309,527.8444
13810,1731.912212315723,543.7437
13811,1731.9136012071383,537.8539
13812,1731.9149900985526,542.1693
13813,1731.9163789899678,546.67773
13814,1731.917767881384,546.72003
13815,1731.9191567728014,557.7087
13816,1731.9205456642198,555.839
13817,1731.9219345556376,555.1289
13818,1731.9233234470557,567.504
13819,1731.9247123384746,578.51715
13820,1731.9261012298941,576.3313
13821,1731.9274901213146,576.8814
13822,1731.928879012736,584.8107
13823,1731.9302679041575,592.80554
13824,1731.9316567955798,593.4245
13825,1731.933045687003,616.1954
13826,1731.9344345784261,612.6349
13827,1731.9358234698502,598.4917
13828,1731.9372123612745,615.4378
13829,1731.9386012526995,621.9903
13830,1731.9399901441254,613.7518
13831,1731.9413790355507,622.2555
13832,1731.942767926978,627.7667
13833,1731.9441568184054,632.98425
13834,1731.9455457098347,617.34845
13835,1731.9469346012634,626.19684
13836,1731.9483234926922,624.51935
13837,1731.949712384121,626.6606
13838,1731.9511012755518,627.75055
13839,1731.9524901669822,625.937
13840,1731.9538790584147,616.25586
13841,1731.9552679498468,613.3037
13842,1731.9566568412806,630.9086
13843,1731.9580457327131,625.0747
13844,1731.9594346241465,616.3642
13845,1731.9608235155808,615.7938
13846,1731.9622124070158,617.5577
13847,1731.9636012984517,626.43207
13848,1731.9649901898888,616.2581
13849,1731.966379081325,612.0973
13850,1731.9677679727627,605.2194
13851,1731.969156864201,601.0903
13852,1731.9705457556397,604.56586
13853,1731.9719346470795,597.69214
13854,1731.973323538519,600.25507
13855,1731.9747124299588,585.4506
13856,1731.9761013213997,575.43976
13857,1731.977490212841,569.4388
13858,1731.9788791042824,533.3735
13859,1731.9802679957263,483.6304
13860,1731.9816568871702,465.9079
13861,1731.9830457786138,440.85144
13862,1731.9844346700581,431.62186
13863,1731.9858235615031,418.67264
13864,1731.987212452949,418.66788
13865,1731.9886013443952,409.62885
13866,1731.989990235842,403.59927
13867,1731.9913791272897,411.8035
13868,1731.9927680187375,415.14682
13869,1731.9941569101861,418.45987
13870,1731.995545801636,422.68115
13871,1731.9969346930854,427.0886
13872,1731.9983235845368,428.07663
13873,1731.9997124759866,447.83652
13874,1732.0011013674384,451.7576
13875,1732.0024902588898,486.44464
13876,1732.0038791503437,513.0316
13877,1732.0052680417975,528.58264
13878,1732.0066569332519,549.21313
13879,1732.0080458247062,549.9488
13880,1732.0094347161605,555.9956
13881,1732.0108236076164,569.83417
13882,1732.0122124990726,583.0713
13883,1732.0136013905303,599.7796
13884,1732.0149902819871,601.3641
13885,1732.0163791734458,603.04584
13886,1732.0177680649044,604.5031
13887,1732.0191569563642,612.1898
13888,1732.0205458478238,624.41724
13889,1732.0219347392842,608.1916
13890,1732.0233236307458,608.5934
13891,1732.0247125222072,603.3979
13892,1732.0261014136688,612.0498
13893,1732.0274903051313,620.9288
13894,1732.0288791965954,621.25134
13895,1732.0302680880602,624.1234
13896,1732.0316569795252,625.43195
13897,1732.0330458709902,616.64233
13898,1732.0344347624555,633.2069
13899,1732.0358236539219,625.4044
13900,1732.0372125453887,632.7335
13901,1732.0386014368564,620.3689
13902,1732.0399903283248,623.65204
13903,1732.041379219795,606.9431
13904,1732.0427681112642,616.22473
13905,1732.044157002733,614.94275
13906,1732.0455458942035,620.6636
13907,1732.0469347856751,613.61365
13908,1732.0483236771474,614.3462
13909,1732.0497125686197,609.01715
13910,1732.0511014600913,610.9977
13911,1732.0524903515657,602.85803
13912,1732.0538792430405,602.1445
13913,1732.0552681345155,599.4126
13914,1732.0566570259905,596.0531
13915,1732.0580459174666,583.43744
13916,1732.0594348089428,588.1681
13917,1732.060823700419,574.1288
13918,1732.0622125918967,588.2053
13919,1732.0636014833754,575.4644
13920,1732.064990374855,582.0069
13921,1732.0663792663352,572.0585
13922,1732.067768157815,575.20795
13923,1732.0691570492947,564.8384
13924,1732.0705459407764,559.9242
13925,1732.0719348322586,559.3779
13926,1732.073323723741,561.3689
13927,1732.0747126152241,546.54785
13928,1732.076101506707,540.1742
13929,1732.077490398192,531.1343
13930,1732.0788792896776,538.11847
13931,1732.0802681811626,525.0877
13932,1732.0816570726497,515.2815
13933,1732.0830459641356,511.71967
13934,1732.0844348556227,517.14056
13935,1732.0858237471098,508.78897
13936,1732.0872126385984,502.0381
13937,1732.088601530088,503.04712
13938,1732.0899904215782,492.11105
13939,1732.0913793130687,497.843
13940,1732.0927682045601,481.24713
13941,1732.0941570960508,500.8603
13942,1732.0955459875427,487.1184
13943,1732.096934879035,494.9615
13944,1732.0983237705282,491.92484
13945,1732.0997126620223,480.92728
13946,1732.1011015535173,496.65387
13947,1732.1024904450123,494.0784
13948,1732.1038793365076,504.82074
13949,1732.1052682280042,498.47852
13950,1732.106657119501,497.88174
13951,1732.1080460109984,508.56616
13952,1732.1094349024966,512.1223
13953,1732.1108237939945,517.10474
13954,1732.112212685493,518.0613
13955,1732.113601576994,528.3777
13956,1732.1149904684833,526.7911
13957,1732.1163793599842,548.6896
13958,1732.1177682514863,537.1599
13959,1732.119157142988,544.57556
13960,1732.12054603449,544.1993
13961,1732.1219349259932,551.65063
13962,1732.1233238174973,555.7978
13963,1732.1247127090032,551.93195
13964,1732.126101600509,555.6051
13965,1732.1274904920142,578.75903
13966,1732.1288793835206,564.65
13967,1732.1302682750274,583.62805
13968,1732.1316571665352,582.36444
13969,1732.1330460580434,585.92596
13970,1732.1344349495525,597.35266
13971,1732.1358238410612,599.70905
13972,1732.1372127325712,600.95953
13973,1732.1386016240824,620.7329
13974,1732.1399905155938,611.89636
13975,1732.1413794071063,627.2984
13976,1732.1427682986186,621.8092
13977,1732.1441571901312,638.966
13978,1732.1455460816437,636.1516
13979,1732.1469349731583,640.7138
13980,1732.148323864673,644.14056
13981,1732.1497127561897,641.4349
13982,1732.1511016477064,635.83527
13983,1732.1524905392225,636.02954
13984,1732.153879430739,636.9204
13985,1732.1552683222571,631.7486
13986,1732.1566572137754,641.0896
13987,1732.158046105295,651.3798
13988,1732.1594349968148,637.8139
13989,1732.1608238883352,638.605
13990,1732.1622127798557,643.8941
13991,1732.1636016713771,642.69763
13992,1732.1649905628997,640.99884
13993,1732.1663794544224,639.89935
13994,1732.1677683459457,635.35486
13995,1732.1691572374698,630.64264
13996,1732.170546128994,619.5368
13997,1732.1719350205183,629.36163
